inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
156730.0,-751.1196,-426.49463,-564.7446,-397.24463
156747.5,-751.2339,-426.6089,-564.8589,-397.3589
156765.0,-751.34766,-426.72266,-564.97266,-397.47266
156782.5,-751.4614,-426.83643,-565.0864,-397.58643
156800.0,-751.5752,-426.9502,-565.2002,-397.7002
156817.5,-751.68896,-427.06396,-565.31396,-397.81396
156835.0,-751.80273,-427.17773,-565.42773,-397.92773
156852.5,-751.916,-427.29102,-565.541,-398.04102
156870.0,-752.0298,-427.4048,-565.6548,-398.1548
156887.5,-752.14355,-427.51855,-565.76855,-398.26855
156905.0,-752.2573,-427.63232,-565.8823,-398.38232
156922.5,-752.3711,-427.7461,-565.9961,-398.4961
156940.0,-752.48486,-427.85986,-566.10986,-398.60986
156957.5,-752.5991,-427.97412,-566.2241,-398.72412
156975.0,-752.7129,-428.0879,-566.3379,-398.8379
156992.5,-752.8262,-428.20117,-566.4512,-398.95117
157010.0,-752.93994,-428.31494,-566.56494,-399.06494
157027.5,-753.0537,-428.4287,-566.6787,-399.1787
157045.0,-753.1675,-428.54248,-566.7925,-399.29248
157062.5,-753.28125,-428.65625,-566.90625,-399.40625
157080.0,-753.395,-428.77002,-567.02,-399.52002
157097.5,-753.5088,-428.8838,-567.1338,-399.6338
157115.0,-753.62256,-428.99756,-567.24756,-399.74756
157132.5,-753.7363,-429.11133,-567.3613,-399.86133
157150.0,-753.8496,-429.2246,-567.4746,-399.9746
157167.5,-753.9634,-429.33838,-567.5884,-400.08838
157185.0,-754.07764,-429.45264,-567.70264,-400.20264
157202.5,-754.1914,-429.5664,-567.8164,-400.3164
157220.0,-754.3052,-429.68018,-567.9302,-400.43018
157237.5,-754.41895,-429.79395,-568.04395,-400.54395
157255.0,-754.5327,-429.9077,-568.1577,-400.6577
157272.5,-754.6465,-430.02148,-568.2715,-400.77148
157290.0,-754.75977,-430.13477,-568.38477,-400.88477
157307.5,-754.87354,-430.24854,-568.49854,-400.99854
157325.0,-754.9873,-430.3623,-568.6123,-401.1123
157342.5,-755.1011,-430.47607,-568.7261,-401.22607
157360.0,-755.21484,-430.58984,-568.83984,-401.33984
157377.5,-755.3286,-430.7036,-568.9536,-401.4536
157395.0,-755.4429,-430.81787,-569.0679,-401.56787
157412.5,-755.55664,-430.93164,-569.18164,-401.68164
157430.0,-755.6699,-431.04492,-569.2949,-401.79492
157447.5,-755.7837,-431.1587,-569.4087,-401.9087
157465.0,-755.89746,-431.27246,-569.52246,-402.02246
157482.5,-756.0112,-431.38623,-569.6362,-402.13623
157500.0,-756.125,-431.5,-569.75,-402.25
157517.5,-756.2383,-431.61377,-569.8638,-402.36377
157535.0,-756.35254,-431.72754,-569.97754,-402.47754
157552.5,-756.4658,-431.8413,-570.0913,-402.5913
157570.0,-756.5801,-431.95508,-570.2051,-402.70508
